#CCT    Blue	Blue	Blue	Green	Amber	Orange	Red		Red
1500	0.00	0.00	0.00	22.92	0.00	71.72	6.75	100.00
2500	22.09	0.00	1.31	29.33	50.83	100.00	8.55	49.64
3500	32.27	0.28	7.51	39.50	61.20	100.00	6.68	41.72
4500	75.34	1.88	19.44	48.26	100.00	73.19	6.17	25.60
5500	85.94	3.91	23.77	46.54	100.00	58.71	5.25	14.51
6500	96.21	4.57	27.62	45.10	100.00	46.33	4.68	13.36
7500	100.00	4.82	29.47	42.02	95.71	36.87	4.07	12.11
8500	100.00	1.25	29.33	31.62	87.43	19.74	7.90	3.97
9500	100.00	3.01	30.91	29.67	86.36	21.79	3.28	6.73
10500	100.00	12.42	31.91	48.14	84.50	37.90	3.17	4.35
11500	100.00	1.35	30.98	24.85	78.53	11.63	6.37	1.47
